feature,pearson,pearson_signed,spearman,spearman_signed,chatterjee,chatterjee_ties,n_valid,nonlinear_score,chatterjee_vs_spearman,composite_score
Vertical_Jump_Pos_Z,0.17209187653823976,0.17209187653823976,0.17242805588401341,0.17242805588401341,0.36320741865662987,-0.8798525122251137,2226,0.1911155421183901,0.19077936277261645,0.24863894718932789
Vertical_Jump_Pos_Diff,0.1710942449921874,0.1710942449921874,0.17124232395968714,0.17124232395968714,0.35271652866966374,-0.9125394992707827,2227,0.18162228367747635,0.1814742047099766,0.24378758215342783
Vertical_Jump_Type_Z,0.1632700761796637,0.1632700761796637,0.1649402194608329,0.1649402194608329,0.35271652866966374,-0.9125394992707827,2227,0.18944645249000006,0.18777630920883084,0.23954970016001448
Bench_Press_Reps_Pos_Z,0.13255011203722847,0.13255011203722847,0.1345871204201518,0.1345871204201518,0.36868917162059844,-0.8702524288924585,2060,0.23613905958336998,0.23410205120044664,0.22761683838545346
Bench_Press_Reps_Pos_Diff,0.13404396277432706,0.13404396277432706,0.13617780079150543,0.13617780079150543,0.3461163507673557,-0.9371241997063757,2060,0.21207238799302863,0.20993854997585026,0.21951306937669202
Bench_Press_Reps_Type_Z,0.12629030666525326,0.12629030666525326,0.1271498248427086,0.1271498248427086,0.35194159485851517,-0.9198669685285907,2060,0.2256512881932619,0.22479177001580658,0.21680867739579462
Broad_Jump_Pos_Z,0.19613079904733877,0.19613079904733877,0.18991127824289328,0.18991127824289328,0.37477259809351204,-0.8321212429435996,2200,0.17864179904617328,0.18486131985061877,0.2657216624244744
Broad_Jump_Pos_Diff,0.19481445741145745,0.19481445741145745,0.18771613966970485,0.18771613966970485,0.3543180484128199,-0.8920597786996607,2200,0.15950359100136244,0.16660190874311503,0.2564863984894767
Broad_Jump_Type_Z,0.17957146862223483,0.17957146862223483,0.1741321912722024,0.1741321912722024,0.37613623473889146,-0.8281253405598623,2200,0.19656476611665663,0.20200404346668907,0.2565655918638878
Agility_3cone_Pos_Z,0.18893946307102485,-0.18893946307102485,0.18625785340181986,-0.18625785340181986,0.38308438859824967,-0.9072543617998163,1809,0.19414492552722482,0.1968265351964298,0.2657929503811533
Agility_3cone_Pos_Diff,0.19308023638100222,-0.19308023638100222,0.1880916878679579,-0.1880916878679579,0.371341608429988,-0.9413162912223714,1811,0.17826137204898576,0.18324992056203007,0.26288822064668327
Agility_3cone_Type_Z,0.1634069711957236,-0.1634069711957236,0.16277563033186918,-0.16277563033186918,0.3618782582577633,-0.9683638161146813,1810,0.19847128706203973,0.19910262792589414,0.24260608376138318
Shuttle_Pos_Z,0.19605009008326255,-0.19605009008326255,0.1891651461986491,-0.1891651461986491,0.3677020146381432,-0.9550960829658646,1867,0.17165192455488068,0.17853686843949412,0.2626453767398308
Shuttle_Pos_Diff,0.20067024928746022,-0.20067024928746022,0.1911521866846874,-0.1911521866846874,0.38764027413573954,-0.8913290857197425,1869,0.18697002484827932,0.19648808745105215,0.2726028404459401
Shuttle_Type_Z,0.17379172721743275,-0.17379172721743275,0.16215600506491581,-0.16215600506491581,0.3841004658936449,-0.9002270581120224,1868,0.21030873867621214,0.22194446082872907,0.25442450604216255
Momentum_Pos_Z,0.21353746436659543,0.21353746436659543,0.20015136290822153,0.20015136290822153,0.35502837010587585,-0.771312434438796,2635,0.14149090573928041,0.15487700719765432,0.26611799622479543
Momentum_Pos_Diff,0.20162768802051406,0.20162768802051406,0.19677429257721366,0.19677429257721366,0.35185878380858016,-0.7813685144839828,2636,0.1502310957880661,0.1550844912313665,0.2602641077027504
